Date,Open,High,Low,Close,Adj Close,Volume
2022-11-18,95.949997,95.989998,92.480003,94.139999,94.139999,72428200
2022-11-21,93.970001,95.019997,90.589996,92.459999,92.459999,84330300
2022-11-22,92.620003,93.349998,90.870003,93.199997,93.199997,62192000
2022-11-23,93.239998,94.580002,92.830002,94.129997,94.129997,59414700
2022-11-25,93.790001,94.430000,93.070000,93.410004,93.410004,35088600
2022-11-28,93.930000,96.400002,93.430000,93.949997,93.949997,74943100
2022-11-29,94.040001,94.410004,91.440002,92.419998,92.419998,65567300
2022-11-30,92.470001,96.540001,91.529999,96.540001,96.540001,102805800
2022-12-01,96.989998,97.230003,94.919998,95.500000,95.500000,68488000
2022-12-02,94.480003,95.360001,93.779999,94.129997,94.129997,72496400
2022-12-05,93.050003,94.059998,90.820000,91.010002,91.010002,71535500
2022-12-06,90.500000,91.040001,87.900002,88.250000,88.250000,75503600
2022-12-07,88.339996,89.889999,87.480003,88.459999,88.459999,68086900
2022-12-08,89.239998,90.860001,87.879997,90.349998,90.349998,73305900
2022-12-09,88.900002,90.300003,88.629997,89.089996,89.089996,67398500
2022-12-12,89.209999,90.580002,87.870003,90.550003,90.550003,61999800
2022-12-13,95.230003,96.250000,90.519997,92.489998,92.489998,100212000
2022-12-14,92.500000,93.459999,89.870003,91.580002,91.580002,70298000
2022-12-15,89.889999,89.970001,87.470001,88.449997,88.449997,84802900
2022-12-16,88.269997,89.349998,86.730003,87.860001,87.860001,146144100
2022-12-19,87.510002,87.629997,84.510002,84.919998,84.919998,83531500
2022-12-20,85.330002,86.610001,84.330002,85.190002,85.190002,74348300
2022-12-21,86.180000,87.230003,85.209999,86.769997,86.769997,59267200
2022-12-22,85.519997,85.680000,82.250000,83.790001,83.790001,81431300
2022-12-23,83.250000,85.779999,82.930000,85.250000,85.250000,57433700
2022-12-27,84.970001,85.349998,83.000000,83.040001,83.040001,57284000
2022-12-28,82.800003,83.480003,81.690002,81.820000,81.820000,58228600
2022-12-29,82.870003,84.550003,82.550003,84.180000,84.180000,54995900
2022-12-30,83.120003,84.050003,82.470001,84.000000,84.000000,62330000
2023-01-03,85.459999,86.959999,84.209999,85.820000,85.820000,76706000
2023-01-04,86.550003,86.980003,83.360001,85.139999,85.139999,68885100
2023-01-05,85.330002,85.419998,83.070000,83.120003,83.120003,67930800
2023-01-06,83.029999,86.400002,81.430000,86.080002,86.080002,83219100
2023-01-09,87.459999,89.480003,87.080002,87.360001,87.360001,65266100
2023-01-10,87.570000,90.190002,87.290001,89.870003,89.870003,67756600
2023-01-11,90.930000,95.260002,90.930000,95.089996,95.089996,103126200
2023-01-12,96.930000,97.190002,93.500000,95.269997,95.269997,85254800
2023-01-13,94.180000,98.370003,94.120003,98.120003,98.120003,85413600
2023-01-17,98.680000,98.889999,95.730003,96.050003,96.050003,72755000
2023-01-18,97.250000,99.320000,95.379997,95.459999,95.459999,79570400
2023-01-19,94.739998,95.440002,92.860001,93.680000,93.680000,69002700
2023-01-20,93.860001,97.349998,93.199997,97.250000,97.250000,67307100
2023-01-23,97.559998,97.779999,95.860001,97.519997,97.519997,76501100
2023-01-24,96.930000,98.089996,96.000000,96.320000,96.320000,66929500
2023-01-25,92.559998,97.239998,91.519997,97.180000,97.180000,94261600
2023-01-26,98.239998,99.489998,96.919998,99.220001,99.220001,68523600
2023-01-27,99.529999,103.489998,99.529999,102.239998,102.239998,87678100
2023-01-30,101.089996,101.739998,99.010002,100.550003,100.550003,70691900
2023-01-31,101.160004,103.349998,101.139999,103.129997,103.129997,66527300
2023-02-01,102.529999,106.239998,101.239998,105.150002,105.150002,80450100
2023-02-02,110.250000,114.000000,108.879997,112.910004,112.910004,158154200
2023-02-03,105.260002,108.779999,102.519997,103.389999,103.389999,144173400
2023-02-06,102.930000,103.949997,100.650002,102.180000,102.180000,81945200
2023-02-07,101.169998,102.410004,98.080002,102.110001,102.110001,119501300
2023-02-08,102.040001,102.669998,98.779999,100.050003,100.050003,75878300
2023-02-09,101.320000,101.779999,97.570000,98.239998,98.239998,64622500
2023-02-10,97.559998,98.820000,96.230003,97.610001,97.610001,52698600
2023-02-13,97.849998,99.680000,96.910004,99.540001,99.540001,52841500
2023-02-14,98.410004,100.919998,97.519997,99.699997,99.699997,56202900
2023-02-15,99.089996,101.169998,98.449997,101.160004,101.160004,48053900
2023-02-16,99.209999,100.629997,98.099998,98.150002,98.150002,56339200
2023-02-17,97.800003,97.940002,95.650002,97.199997,97.199997,59967700
